DEBUG:root:1720 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:507 STAPLES RD, SAN MARCOS, TX 78666
DEBUG:root:TECHNOLOGY WAY, SAN MARCOS, TX 78666
DEBUG:root:200 LBJ DR, SAN MARCOS, TX 78666
DEBUG:root:2601 RATTLER RD, SAN MARCOS, TX 78666
DEBUG:root:209 IH 35, SAN MARCOS, TX 78666
DEBUG:root:521 HUNTER RIDGE RD, SAN MARCOS, TX 78666
DEBUG:root:333 VERAMENDI ST, SAN MARCOS, TX 78666
DEBUG:root:HUNTER RD, SAN MARCOS, TX 78666
DEBUG:root:1420 OLD RANCH ROAD 12, SAN MARCOS, TX 78666
DEBUG:root:1001 MCCARTY LN, SAN MARCOS, TX 78666
DEBUG:root:112 KID RANCH LN, SAN MARCOS, TX 78666
DEBUG:root:UNIVERSITY DR, SAN MARCOS, TX 78666
DEBUG:root:1941 IH 35, SAN MARCOS, TX 78666
DEBUG:root:OSCAR SMITH ST, SAN MARCOS, TX 78666
DEBUG:root:202 SB, SAN MARCOS, TX 78666
DEBUG:root:EBONY ST, SAN MARCOS, TX 78666
DEBUG:root:350 GUADALUPE ST, SAN MARCOS, TX 78666
DEBUG:root:301 TELLURIDE ST, SAN MARCOS, TX 78666
DEBUG:root:1015 HWY 80, SAN MARCOS, TX 78666
DEBUG:root:617 IH 35, SAN MARCOS, TX 78666
DEBUG:root:503 SPRINGTOWN WAY, SAN MARCOS, TX 78666
DEBUG:root:405 EDWARD GARY ST, SAN MARCOS, TX 78666
DEBUG:root:323 RIVERSIDE DR, SAN MARCOS, TX 78666
DEBUG:root:127 HOPKINS ST, SAN MARCOS, TX 78666
DEBUG:root:1605 GIRARD AVE, SAN MARCOS, TX 78666
DEBUG:root:201 SUTTLES AVE, SAN MARCOS, TX 78666
DEBUG:root:201 SUTTLES AVE, SAN MARCOS, TX 78666
DEBUG:root:2911 RATTLER RD, SAN MARCOS, TX 78666
DEBUG:root:1117 SAN MARCOS PKWY, SAN MARCOS, TX 78666
